2016	0.000000
2017	7966.913000
2018	16001.305753
2019	24103.749813
2020	32274.821574
2021	40515.102312
2022	48825.178229
2023	57205.640489
2024	65657.085264
2025	74180.113776
2026	82775.332339
2027	91443.352404
2028	100184.790599
2029	109000.268776
2030	126865.797052
2031	144882.646353
2032	163052.098368
2033	181375.445641
2034	199853.991666
2035	218489.050975
2036	238290.419237
2037	258259.505088
2038	278397.729096
2039	298706.523861
2040	319187.334118
2041	339841.616838
2042	360670.841333
2043	381676.489359
2044	402860.055224
2045	424223.045892
2046	445766.981090
2047	467493.393420
2048	489403.828462
2049	511499.844889
2050	533783.014576
2051	556254.922709
2052	578917.167905
2053	601771.362317
2054	624819.131755
2055	648062.115801
2056	671501.967922
2057	695140.355591
2058	718978.960402
2059	743019.478197
2060	767263.619177
2061	791713.108032
2062	816369.684057
2063	841235.101281
2064	866311.128589
2065	891599.549848
2066	917102.164035
2067	942820.785364
2068	968757.243416
2069	994913.383268
2070	1021291.065624
